,,cost,load,fuel cost,cost_norm,load_norm,del_load_norm,fuel_norm,weather,,,,
1,Jul-76,17.84,54029.33,4.32,0.73,0.1,0.1,0.02,1,,,min_cost,11.39
2,Aug-76,16.83,57706.13,4.33,0.62,0.13,0.03,0.02,0,,,max_cost,20.23
3,Sep-76,17.2,53771.2,4.3,0.66,0.1,-0.03,0.01,0,,,min_energy,41825
4,Oct-76,17.56,44995.88,4.28,0.7,0.03,-0.07,0.01,0,,,max_energy,166890.83
5,Nov-76,17.05,46986.38,4.27,0.64,0.04,0.01,0.01,1,,,min_fuel,4.03
6,Dec-76,16.07,57111.76,4.25,0.53,0.12,0.08,0.01,1,,,max_fuel,22.89
7,Jan-77,15.99,65757.53,4.28,0.52,0.19,0.07,0.01,1,,,,
8,Feb-77,16.27,61838.61,4.32,0.55,0.16,-0.03,0.02,1,,,,
9,Mar-77,17.5,51172.85,4.33,0.69,0.07,-0.09,0.02,0,,,LEGEND:,
10,Apr-77,17.81,44667.74,4.31,0.73,0.02,-0.05,0.02,0,,,* cost: avg residential electricity cost (cents/MWH) ,
11,May-77,18.19,41825,4.36,0.77,0,-0.02,0.02,1,,,* load: avg electrical energy consumption (Million Kw hrs),
12,Jun-77,18.1,48728.71,4.37,0.76,0.06,0.06,0.02,1,,,* fuel cost: overall avg fuel cost ($/gallon),
13,Jul-77,18.01,61377.5,4.33,0.75,0.16,0.1,0.02,1,,,"* includes: crude oil, gasoline, diesel, heat oil, natural gases",
14,Aug-77,18.77,62692.04,4.34,0.84,0.17,0.01,0.02,0,,,* weather: summer and winter -> 1 otherwise 0,
15,Sep-77,18.29,57629.73,4.3,0.78,0.13,-0.04,0.01,0,,,"Jan,Feb,Nov,Dec (winter) and May, June, July (summer)",
16,Oct-77,18.2,49021.33,4.28,0.77,0.06,-0.07,0.01,0,,,,
17,Nov-77,17.66,45241.4,4.25,0.71,0.03,-0.03,0.01,1,,,,
18,Dec-77,16.74,55286.54,4.25,0.6,0.11,0.08,0.01,1,,,,
19,Jan-78,16.22,65906,4.13,0.55,0.19,0.08,0.01,1,,,,
20,Feb-78,16.14,64579,4.1,0.54,0.18,-0.01,0,1,,,,
21,Mar-78,16.86,58781,4.09,0.62,0.14,-0.04,0,0,,,,
22,Apr-78,17.54,47396,4.05,0.7,0.04,-0.1,0,0,,,,
23,May-78,18.19,44012,4.04,0.77,0.02,-0.02,0,1,,,,
24,Jun-78,18.05,50832,4.05,0.75,0.07,0.05,0,1,,,,
25,Jul-78,17.91,61747,4.06,0.74,0.16,0.09,0,1,,,,
26,Aug-78,17.8,63843,4.06,0.73,0.18,0.02,0,0,,,,
27,Sep-78,17.64,61984,4.05,0.71,0.16,-0.02,0,0,,,,
28,Oct-78,17.48,51108,4.03,0.69,0.07,-0.09,0,0,,,,
29,Nov-78,16.99,47220,6.1,0.63,0.04,-0.03,0.11,1,,,,
30,Dec-78,16.13,57058,6.16,0.54,0.12,0.08,0.11,1,,,,
31,Jan-79,15.6,69939,8.54,0.48,0.22,0.1,0.24,1,,,,
32,Feb-79,15.45,67842,8.72,0.46,0.21,-0.01,0.25,1,,,,
33,Mar-79,16.04,59314,8.95,0.53,0.14,-0.07,0.26,0,,,,
34,Apr-79,16.62,50079,9.31,0.59,0.07,-0.07,0.28,0,,,,
35,May-79,17.16,45730,9.8,0.65,0.03,-0.04,0.31,1,,,,
36,Jun-79,17.69,49556,10.57,0.71,0.06,0.03,0.35,1,,,,
37,Jul-79,17.5,58606,11.09,0.69,0.13,0.07,0.37,1,,,,
38,Aug-79,17.33,64808,11.49,0.67,0.18,0.05,0.4,0,,,,
39,Sep-79,17.52,59703,11.77,0.69,0.14,-0.04,0.41,0,,,,
40,Oct-79,17.33,49505,11.78,0.67,0.06,-0.08,0.41,0,,,,
41,Nov-79,16.46,49617,11.96,0.57,0.06,0,0.42,1,,,,
42,Dec-79,15.93,58120,12.27,0.51,0.13,0.07,0.44,1,,,,
43,Jan-80,15.71,65841,12.66,0.49,0.19,0.06,0.46,1,,,,
44,Feb-80,15.51,64514,13.12,0.47,0.18,-0.01,0.48,1,,,,
45,Mar-80,15.95,60497,13.35,0.52,0.15,-0.03,0.49,0,,,,
46,Apr-80,16.43,51749,13.28,0.57,0.08,-0.07,0.49,0,,,,
47,May-80,17.23,45699,13.22,0.66,0.03,-0.05,0.49,1,,,,
48,Jun-80,17.7,52267,13.15,0.71,0.08,0.05,0.48,1,,,,
49,Jul-80,17.99,68611,13.12,0.75,0.21,0.13,0.48,1,,,,
50,Aug-80,17.86,75020,12.99,0.73,0.27,0.06,0.48,0,,,,
51,Sep-80,17.71,67969,12.86,0.72,0.21,-0.06,0.47,0,,,,
52,Oct-80,17.54,54014,12.67,0.7,0.1,-0.11,0.46,0,,,,
53,Nov-80,17.05,50539,12.71,0.64,0.07,-0.03,0.46,1,,,,
54,Dec-80,16.59,60775,12.89,0.59,0.15,0.08,0.47,1,,,,
55,Jan-81,16.14,74087.02,15.08,0.54,0.26,0.11,0.59,1,,,,
56,Feb-81,16.29,66359.16,15.68,0.55,0.2,-0.06,0.62,1,,,,
57,Mar-81,17.07,57660.33,15.83,0.64,0.13,-0.07,0.63,0,,,,
58,Apr-81,17.55,50913.73,15.69,0.7,0.07,-0.06,0.62,0,,,,
59,May-81,18.31,48347.74,15.52,0.78,0.05,-0.02,0.61,1,,,,
60,Jun-81,18.72,56165.25,15.27,0.83,0.11,0.06,0.6,1,,,,
61,Jul-81,18.8,69989.93,14.95,0.84,0.23,0.12,0.58,1,,,,
62,Aug-81,18.66,70298.9,14.81,0.82,0.23,0,0.57,0,,,,
63,Sep-81,18.48,61098.02,14.67,0.8,0.15,-0.08,0.56,0,,,,
64,Oct-81,18.42,52988.68,14.6,0.8,0.09,-0.06,0.56,0,,,,
65,Nov-81,17.79,51965,14.61,0.72,0.08,-0.01,0.56,1,,,,
66,Dec-81,17.45,62391.28,14.6,0.69,0.16,0.08,0.56,1,,,,
67,Jan-82,17.12,76263.76,14.44,0.65,0.28,0.12,0.55,1,,,,
68,Feb-82,17.62,69127.77,14.26,0.7,0.22,-0.06,0.54,1,,,,
69,Mar-82,18.17,60498.09,13.83,0.77,0.15,-0.07,0.52,0,,,,
70,Apr-82,18.39,54917.77,13.41,0.79,0.1,-0.05,0.5,0,,,,
71,May-82,18.76,49091.65,13.5,0.83,0.06,-0.04,0.5,1,,,,
72,Jun-82,19.08,54082.56,13.8,0.87,0.1,0.04,0.52,1,,,,
73,Jul-82,19.25,65703.81,13.76,0.89,0.19,0.09,0.52,1,,,,
74,Aug-82,19.21,69905.83,13.63,0.88,0.22,0.03,0.51,0,,,,
75,Sep-82,19.21,63052.99,13.66,0.88,0.17,-0.05,0.51,0,,,,
76,Oct-82,19.13,52637.85,13.79,0.88,0.09,-0.08,0.52,0,,,,
77,Nov-82,18.35,52135.61,13.89,0.79,0.08,-0.01,0.52,1,,,,
78,Dec-82,17.88,62102.08,13.73,0.73,0.16,0.08,0.51,1,,,,
79,Jan-83,17.84,69966.68,13.41,0.73,0.23,0.07,0.5,1,,,,
80,Feb-83,17.82,65038.69,13.1,0.73,0.19,-0.04,0.48,1,,,,
81,Mar-83,18.34,58911.75,12.65,0.79,0.14,-0.05,0.46,0,,,,
82,Apr-83,18.21,56283.96,12.91,0.77,0.12,-0.02,0.47,0,,,,
83,May-83,18.92,49669.17,13.08,0.85,0.06,-0.06,0.48,1,,,,
84,Jun-83,19.41,54138.01,13.14,0.91,0.1,0.04,0.48,1,,,,
85,Jul-83,19.59,69964.83,13.05,0.93,0.23,0.13,0.48,1,,,,
86,Aug-83,19.53,78374.35,13.06,0.92,0.29,0.06,0.48,0,,,,
87,Sep-83,19.73,73197.28,13.01,0.94,0.25,-0.04,0.48,0,,,,
88,Oct-83,19.4,55373.8,13.08,0.91,0.11,-0.14,0.48,0,,,,
89,Nov-83,18.82,53703.56,12.81,0.84,0.09,-0.02,0.47,1,,,,
90,Dec-83,18,66326.16,12.6,0.75,0.2,0.11,0.45,1,,,,
91,Jan-84,17.36,83556.44,12.57,0.68,0.33,0.13,0.45,1,,,,
92,Feb-84,17.79,70036.46,12.77,0.72,0.23,-0.1,0.46,1,,,,
93,Mar-84,18.24,63855.26,12.55,0.77,0.18,-0.05,0.45,0,,,,
94,Apr-84,18.42,56550.06,12.54,0.8,0.12,-0.06,0.45,0,,,,
95,May-84,19.14,53687.24,12.64,0.88,0.09,-0.03,0.46,1,,,,
96,Jun-84,19.86,60143.17,12.72,0.96,0.15,0.06,0.46,1,,,,
97,Jul-84,20.03,71242.37,12.67,0.98,0.24,0.09,0.46,1,,,,
98,Aug-84,20.23,73367.33,12.71,1,0.25,0.01,0.46,0,,,,
99,Sep-84,20.17,67667.18,12.65,0.99,0.21,-0.04,0.46,0,,,,
100,Oct-84,19.84,56140.25,12.51,0.96,0.11,-0.1,0.45,0,,,,
101,Nov-84,18.82,56720.55,12.29,0.84,0.12,0.01,0.44,1,,,,
102,Dec-84,18.04,67125.36,12.07,0.75,0.2,0.08,0.43,1,,,,
103,Jan-85,18,77530.26,11.84,0.75,0.29,0.09,0.41,1,,,,
104,Feb-85,17.66,78302.71,11.64,0.71,0.29,0,0.4,1,,,,
105,Mar-85,18.31,64219.97,11.71,0.78,0.18,-0.11,0.41,0,,,,
106,Apr-85,18.76,56234.7,11.94,0.83,0.12,-0.06,0.42,0,,,,
107,May-85,19.45,53039.27,12.13,0.91,0.09,-0.03,0.43,1,,,,
108,Jun-85,19.89,60878.73,12.13,0.96,0.15,0.06,0.43,1,,,,
109,Jul-85,19.85,71231.59,12.01,0.96,0.24,0.09,0.42,1,,,,
110,Aug-85,19.81,73968.62,11.97,0.95,0.26,0.02,0.42,0,,,,
111,Sep-85,19.77,71329.27,11.96,0.95,0.24,-0.02,0.42,0,,,,
112,Oct-85,19.46,57730.43,11.84,0.91,0.13,-0.11,0.41,0,,,,
113,Nov-85,18.42,57006.61,11.9,0.79,0.12,-0.01,0.42,1,,,,
114,Dec-85,17.62,72461.69,11.71,0.7,0.24,0.12,0.41,1,,,,
115,Jan-86,16.41,82899.67,11.39,0.57,0.33,0.09,0.39,1,,,,
116,Feb-86,16.97,71072.22,10.25,0.63,0.23,-0.1,0.33,1,,,,
117,Mar-86,17.25,65431.44,9.34,0.66,0.19,-0.04,0.28,0,,,,
118,Apr-86,17.79,56745.73,8.94,0.72,0.12,-0.07,0.26,0,,,,
119,May-86,17.91,54360.15,8.96,0.74,0.1,-0.02,0.26,1,,,,
120,Jun-86,18.37,64097.88,8.95,0.79,0.18,0.08,0.26,1,,,,
121,Jul-86,18.45,80505.5,8.48,0.8,0.31,0.13,0.24,1,,,,
122,Aug-86,18.31,80564.74,8.46,0.78,0.31,0,0.23,0,,,,
123,Sep-86,18.27,68662.42,8.54,0.78,0.21,-0.1,0.24,0,,,,
124,Oct-86,17.65,62984.78,8.27,0.71,0.17,-0.04,0.22,0,,,,
125,Nov-86,17.47,58691.57,8.07,0.69,0.13,-0.04,0.21,1,,,,
126,Dec-86,16.49,73072.24,8.02,0.58,0.25,0.12,0.21,1,,,,
127,Jan-87,16.22,82209.16,8.49,0.55,0.32,0.07,0.24,1,,,,
128,Feb-87,16.21,73503.45,8.7,0.54,0.25,-0.07,0.25,1,,,,
129,Mar-87,16.59,67433,8.69,0.59,0.2,-0.05,0.25,0,,,,
130,Apr-87,16.79,60070.34,8.8,0.61,0.15,-0.05,0.25,0,,,,
131,May-87,17.23,58553.7,8.99,0.66,0.13,-0.02,0.26,1,,,,
132,Jun-87,17.92,68923.48,9.21,0.74,0.22,0.09,0.27,1,,,,
133,Jul-87,17.87,83829.45,9.37,0.73,0.34,0.12,0.28,1,,,,
134,Aug-87,17.7,88242.63,9.45,0.71,0.37,0.03,0.29,0,,,,
135,Sep-87,17.41,73508.1,9.33,0.68,0.25,-0.12,0.28,0,,,,
136,Oct-87,17.3,60905.1,9.06,0.67,0.15,-0.1,0.27,0,,,,
137,Nov-87,16.69,60064.04,8.96,0.6,0.15,0,0.26,1,,,,
138,Dec-87,15.99,73167.83,8.74,0.52,0.25,0.1,0.25,1,,,,
139,Jan-88,15.55,89582.03,8.49,0.47,0.38,0.13,0.24,1,,,,
140,Feb-88,15.68,80299.02,8.38,0.49,0.31,-0.07,0.23,1,,,,
141,Mar-88,15.98,71465.58,8.31,0.52,0.24,-0.07,0.23,0,,,,
142,Apr-88,16.24,61440.53,8.45,0.55,0.16,-0.08,0.23,0,,,,
143,May-88,16.82,57617.13,8.66,0.61,0.13,-0.03,0.25,1,,,,
144,Jun-88,17.32,68831.72,8.71,0.67,0.22,0.09,0.25,1,,,,
145,Jul-88,17.38,87079.54,8.63,0.68,0.36,0.14,0.24,1,,,,
146,Aug-88,17.37,94285.1,8.63,0.68,0.42,0.06,0.24,0,,,,
